sales_person,country,product,date,sales,boxes_shipped,year,year_month_period,year_month,month_name,month_num
Kaine Padly,USA,Milk Bars,2023-06-15,16253.25,58,2023,2023-06,2023-06,June,6
Brien Boise,India,After Nines,2023-06-16,5744.07,49,2023,2023-06,2023-06,June,6
Oby Sorrel,New Zealand,Raspberry Choco,2023-05-13,4908.71,288,2023,2023-05,2023-05,May,5
Dennison Crosswaite,USA,Drinking Coco,2023-05-10,2369.87,139,2023,2023-05,2023-05,May,5
Oby Sorrel,India,Eclairs,2023-08-25,5973.24,337,2023,2023-08,2023-08,August,8
Ches Bonnell,New Zealand,Organic Choco Syrup,2023-07-15,8047.16,86,2023,2023-07,2023-07,July,7
Gigi Bohling,UK,Baker's Choco Chips,2023-05-16,9656.56,400,2023,2023-05,2023-05,May,5
Jan Morforth,Australia,50% Dark Bites,2023-06-14,3925.06,186,2023,2023-06,2023-06,June,6
Beverie Moffet,Australia,Smooth Sliky Salty,2023-01-25,11682.62,506,2023,2023-01,2023-01,January,1
Ches Bonnell,USA,Organic Choco Syrup,2023-07-28,7874.15,13,2023,2023-07,2023-07,July,7
Brien Boise,Canada,Mint Chip Choco,2023-01-28,5061.37,179,2023,2023-01,2023-01,January,1
Kaine Padly,UK,Orange Choco,2023-06-29,2099.24,186,2023,2023-06,2023-06,June,6
Karlen McCaffrey,Australia,70% Dark Bites,2023-06-24,237.57,311,2023,2023-06,2023-06,June,6
Gunar Cockshoot,Canada,Mint Chip Choco,2023-07-01,8829.77,445,2023,2023-07,2023-07,July,7
Roddy Speechley,USA,Peanut Butter Cubes,2023-02-25,1733.09,135,2023,2023-02,2023-02,February,2
Curtice Advani,Canada,Smooth Sliky Salty,2023-08-01,3047.18,12,2023,2023-08,2023-08,August,8
Oby Sorrel,Australia,Milk Bars,2023-06-21,8497.72,276,2023,2023-06,2023-06,June,6
Camilla Castle,New Zealand,Spicy Special Slims,2023-01-25,12557.56,26,2023,2023-01,2023-01,January,1
Gigi Bohling,UK,Milk Bars,2023-05-17,1406.91,231,2023,2023-05,2023-05,May,5
Andria Kimpton,Australia,85% Dark Bars,2023-08-23,4496.32,240,2023,2023-08,2023-08,August,8
Camilla Castle,Australia,Smooth Sliky Salty,2023-03-03,8220.25,125,2023,2023-03,2023-03,March,3
Roddy Speechley,India,Caramel Stuffed Bars,2023-05-30,9588.03,562,2023,2023-05,2023-05,May,5
Karlen McCaffrey,USA,Drinking Coco,2023-06-29,114.82,231,2023,2023-06,2023-06,June,6
Andria Kimpton,Canada,Organic Choco Syrup,2023-01-04,8804.98,214,2023,2023-01,2023-01,January,1
Jehu Rudeforth,Australia,Drinking Coco,2023-01-14,2900.61,68,2023,2023-01,2023-01,January,1
Karlen McCaffrey,USA,Mint Chip Choco,2023-02-15,16773.08,58,2023,2023-02,2023-02,February,2
Curtice Advani,New Zealand,Spicy Special Slims,2023-01-10,4153.59,513,2023,2023-01,2023-01,January,1
Madelene Upcott,USA,White Choc,2023-05-04,12571.07,226,2023,2023-05,2023-05,May,5
Andria Kimpton,USA,Spicy Special Slims,2023-05-23,2553.46,5,2023,2023-05,2023-05,May,5
Barr Faughny,New Zealand,Fruit & Nut Bars,2023-04-26,1888.94,159,2023,2023-04,2023-04,April,4
Oby Sorrel,Canada,Organic Choco Syrup,2023-07-05,1310.04,71,2023,2023-07,2023-07,July,7
Madelene Upcott,UK,Organic Choco Syrup,2023-07-21,7805.9,179,2023,2023-07,2023-07,July,7
Dotty Strutley,USA,Mint Chip Choco,2023-02-21,6101.12,261,2023,2023-02,2023-02,February,2
Kelci Walkden,USA,Orange Choco,2023-02-03,1425.81,133,2023,2023-02,2023-02,February,2
Gigi Bohling,Australia,Caramel Stuffed Bars,2023-07-08,8724.4,147,2023,2023-07,2023-07,July,7
Mallorie Waber,India,50% Dark Bites,2023-05-31,664.82,147,2023,2023-05,2023-05,May,5
Van Tuxwell,New Zealand,Mint Chip Choco,2023-06-27,4351.31,103,2023,2023-06,2023-06,June,6
Van Tuxwell,India,50% Dark Bites,2023-05-13,5825.09,123,2023,2023-05,2023-05,May,5
Van Tuxwell,USA,Manuka Honey Choco,2023-05-31,2418.93,110,2023,2023-05,2023-05,May,5
Wilone O'Kielt,USA,Orange Choco,2023-02-28,7725.52,38,2023,2023-02,2023-02,February,2
Barr Faughny,New Zealand,Eclairs,2023-03-28,7144.08,32,2023,2023-03,2023-03,March,3
Gigi Bohling,USA,After Nines,2023-01-14,2043.13,243,2023,2023-01,2023-01,January,1
Barr Faughny,New Zealand,Mint Chip Choco,2023-02-21,6526.01,147,2023,2023-02,2023-02,February,2
Dennison Crosswaite,Canada,85% Dark Bars,2023-08-01,11334.77,89,2023,2023-08,2023-08,August,8
Beverie Moffet,New Zealand,Smooth Sliky Salty,2023-05-19,2492.67,58,2023,2023-05,2023-05,May,5
Husein Augar,USA,White Choc,2023-07-13,2066.48,59,2023,2023-07,2023-07,July,7
Andria Kimpton,Australia,Peanut Butter Cubes,2023-04-20,7009.01,150,2023,2023-04,2023-04,April,4
Dennison Crosswaite,India,85% Dark Bars,2023-06-30,4562.97,21,2023,2023-06,2023-06,June,6
Curtice Advani,UK,50% Dark Bites,2023-03-08,3442.99,142,2023,2023-03,2023-03,March,3
Gunar Cockshoot,USA,Fruit & Nut Bars,2023-03-09,6669.6,99,2023,2023-03,2023-03,March,3
Oby Sorrel,Canada,Raspberry Choco,2023-06-16,1902.47,217,2023,2023-06,2023-06,June,6
Gigi Bohling,UK,Drinking Coco,2023-06-30,6157.17,43,2023,2023-06,2023-06,June,6
Kelci Walkden,India,Mint Chip Choco,2023-07-28,3012.68,129,2023,2023-07,2023-07,July,7
Karlen McCaffrey,Canada,Peanut Butter Cubes,2023-08-12,3473.62,170,2023,2023-08,2023-08,August,8
Barr Faughny,UK,Mint Chip Choco,2023-07-07,4129.98,332,2023,2023-07,2023-07,July,7
Barr Faughny,USA,85% Dark Bars,2023-08-25,14566.22,45,2023,2023-08,2023-08,August,8
Husein Augar,Canada,Eclairs,2023-01-17,4049.61,255,2023,2023-01,2023-01,January,1
Jan Morforth,Australia,70% Dark Bites,2023-03-04,5924.44,396,2023,2023-03,2023-03,March,3
Marney O'Breen,New Zealand,Fruit & Nut Bars,2023-08-25,10100.95,4,2023,2023-08,2023-08,August,8
Ches Bonnell,UK,Peanut Butter Cubes,2023-04-15,2362.01,272,2023,2023-04,2023-04,April,4
Kaine Padly,USA,Organic Choco Syrup,2023-03-11,2638.76,24,2023,2023-03,2023-03,March,3
Camilla Castle,USA,Raspberry Choco,2023-05-20,3496.41,18,2023,2023-05,2023-05,May,5
Brien Boise,New Zealand,Manuka Honey Choco,2023-06-14,17222.86,44,2023,2023-06,2023-06,June,6
Jehu Rudeforth,New Zealand,After Nines,2023-04-14,1604.87,71,2023,2023-04,2023-04,April,4
Jehu Rudeforth,USA,Smooth Sliky Salty,2023-07-07,7170.21,151,2023,2023-07,2023-07,July,7
Madelene Upcott,India,Mint Chip Choco,2023-08-24,4090.16,75,2023,2023-08,2023-08,August,8
Jehu Rudeforth,India,Eclairs,2023-02-24,9574.38,134,2023,2023-02,2023-02,February,2
Karlen McCaffrey,Canada,Raspberry Choco,2023-05-09,717.9,213,2023,2023-05,2023-05,May,5
Kaine Padly,Australia,70% Dark Bites,2023-02-08,7734.54,227,2023,2023-02,2023-02,February,2
Roddy Speechley,UK,70% Dark Bites,2023-03-24,1606.49,305,2023,2023-03,2023-03,March,3
Rafaelita Blaksland,USA,Drinking Coco,2023-06-20,9170.09,79,2023,2023-06,2023-06,June,6
Mallorie Waber,Canada,Manuka Honey Choco,2023-03-07,1583.57,122,2023,2023-03,2023-03,March,3
Kaine Padly,Australia,Fruit & Nut Bars,2023-06-20,7684.52,83,2023,2023-06,2023-06,June,6
Oby Sorrel,New Zealand,Organic Choco Syrup,2023-02-17,16765.07,261,2023,2023-02,2023-02,February,2
Madelene Upcott,UK,99% Dark & Pure,2023-01-26,11796.63,45,2023,2023-01,2023-01,January,1
Madelene Upcott,Australia,Mint Chip Choco,2023-05-02,2766.65,148,2023,2023-05,2023-05,May,5
Curtice Advani,Canada,99% Dark & Pure,2023-07-07,13232.74,7,2023,2023-07,2023-07,July,7
Rafaelita Blaksland,Australia,Baker's Choco Chips,2023-08-22,2820.41,50,2023,2023-08,2023-08,August,8
Karlen McCaffrey,Australia,After Nines,2023-08-11,2483.32,65,2023,2023-08,2023-08,August,8
Marney O'Breen,UK,99% Dark & Pure,2023-01-13,9124.16,209,2023,2023-01,2023-01,January,1
Gunar Cockshoot,Australia,50% Dark Bites,2023-03-02,12728.16,111,2023,2023-03,2023-03,March,3
Marney O'Breen,Australia,Choco Coated Almonds,2023-07-27,12624.64,41,2023,2023-07,2023-07,July,7
Kelci Walkden,New Zealand,Drinking Coco,2023-03-10,17584.16,110,2023,2023-03,2023-03,March,3
Beverie Moffet,USA,85% Dark Bars,2023-08-23,13156.49,360,2023,2023-08,2023-08,August,8
Roddy Speechley,USA,Eclairs,2023-04-25,4164.1,167,2023,2023-04,2023-04,April,4
Dennison Crosswaite,UK,Milk Bars,2023-03-07,11698.98,436,2023,2023-03,2023-03,March,3
Wilone O'Kielt,UK,Organic Choco Syrup,2023-07-12,4964.25,56,2023,2023-07,2023-07,July,7
Madelene Upcott,USA,Orange Choco,2023-05-16,8258.37,132,2023,2023-05,2023-05,May,5
Gunar Cockshoot,India,Smooth Sliky Salty,2023-03-02,3938.2,70,2023,2023-03,2023-03,March,3
Marney O'Breen,New Zealand,85% Dark Bars,2023-05-30,1368.27,163,2023,2023-05,2023-05,May,5
Marney O'Breen,UK,Manuka Honey Choco,2023-06-10,12449.46,177,2023,2023-06,2023-06,June,6
Brien Boise,USA,99% Dark & Pure,2023-07-25,7323.82,339,2023,2023-07,2023-07,July,7
Beverie Moffet,New Zealand,Mint Chip Choco,2023-06-09,4560.81,102,2023,2023-06,2023-06,June,6
Dennison Crosswaite,USA,Milk Bars,2023-05-12,777.46,58,2023,2023-05,2023-05,May,5
Gunar Cockshoot,USA,Drinking Coco,2023-05-09,3857.27,5,2023,2023-05,2023-05,May,5
Brien Boise,Canada,Manuka Honey Choco,2023-08-09,7442.69,179,2023,2023-08,2023-08,August,8
Van Tuxwell,India,Choco Coated Almonds,2023-04-13,5799.3,125,2023,2023-04,2023-04,April,4
Andria Kimpton,USA,Caramel Stuffed Bars,2023-05-02,8836.9,48,2023,2023-05,2023-05,May,5
Dotty Strutley,USA,99% Dark & Pure,2023-08-09,4185.0,315,2023,2023-08,2023-08,August,8
Camilla Castle,Australia,Raspberry Choco,2023-08-23,6984.06,174,2023,2023-08,2023-08,August,8
Gunar Cockshoot,India,Spicy Special Slims,2023-05-13,7362.7,179,2023,2023-05,2023-05,May,5
Karlen McCaffrey,USA,Manuka Honey Choco,2023-02-01,10338.27,73,2023,2023-02,2023-02,February,2
Camilla Castle,USA,50% Dark Bites,2023-06-23,6215.72,324,2023,2023-06,2023-06,June,6
Madelene Upcott,UK,Choco Coated Almonds,2023-05-24,10400.66,144,2023,2023-05,2023-05,May,5
Jan Morforth,Canada,Mint Chip Choco,2023-04-01,1062.61,217,2023,2023-04,2023-04,April,4
Camilla Castle,Canada,70% Dark Bites,2023-07-27,10095.71,151,2023,2023-07,2023-07,July,7
Ches Bonnell,India,Peanut Butter Cubes,2023-01-27,23251.68,210,2023,2023-01,2023-01,January,1
Jan Morforth,India,Choco Coated Almonds,2023-08-12,2669.61,143,2023,2023-08,2023-08,August,8
Gigi Bohling,Canada,Almond Choco,2023-02-01,10265.97,49,2023,2023-02,2023-02,February,2
Rafaelita Blaksland,India,After Nines,2023-03-02,5423.54,203,2023,2023-03,2023-03,March,3
Kelci Walkden,Australia,99% Dark & Pure,2023-06-30,3272.68,32,2023,2023-06,2023-06,June,6
Dotty Strutley,Australia,Spicy Special Slims,2023-01-17,8840.59,92,2023,2023-01,2023-01,January,1
Brien Boise,USA,Milk Bars,2023-07-07,14460.51,124,2023,2023-07,2023-07,July,7
Mallorie Waber,New Zealand,Mint Chip Choco,2023-01-31,1461.99,109,2023,2023-01,2023-01,January,1
Beverie Moffet,UK,99% Dark & Pure,2023-08-10,3701.6,131,2023,2023-08,2023-08,August,8
Beverie Moffet,USA,Peanut Butter Cubes,2023-08-18,13951.32,329,2023,2023-08,2023-08,August,8
Brien Boise,New Zealand,White Choc,2023-06-15,5774.92,325,2023,2023-06,2023-06,June,6
Marney O'Breen,USA,Baker's Choco Chips,2023-01-26,9718.87,10,2023,2023-01,2023-01,January,1
Kelci Walkden,USA,Spicy Special Slims,2023-04-29,87.52,69,2023,2023-04,2023-04,April,4
Mallorie Waber,Canada,White Choc,2023-03-03,3398.51,74,2023,2023-03,2023-03,March,3
Kaine Padly,Australia,Almond Choco,2023-02-22,4371.77,375,2023,2023-02,2023-02,February,2
Oby Sorrel,USA,Smooth Sliky Salty,2023-03-04,3632.32,169,2023,2023-03,2023-03,March,3
Dennison Crosswaite,India,Smooth Sliky Salty,2023-07-07,3343.85,10,2023,2023-07,2023-07,July,7
Camilla Castle,New Zealand,Caramel Stuffed Bars,2023-06-17,4400.28,364,2023,2023-06,2023-06,June,6
Jan Morforth,Canada,Caramel Stuffed Bars,2023-08-02,10802.13,124,2023,2023-08,2023-08,August,8
Oby Sorrel,USA,Baker's Choco Chips,2023-08-12,9154.17,123,2023,2023-08,2023-08,August,8
Madelene Upcott,New Zealand,Peanut Butter Cubes,2023-01-28,5360.89,340,2023,2023-01,2023-01,January,1
Kelci Walkden,Australia,Orange Choco,2023-04-29,11597.46,462,2023,2023-04,2023-04,April,4
Marney O'Breen,Australia,Manuka Honey Choco,2023-04-05,14939.24,238,2023,2023-04,2023-04,April,4
Kaine Padly,Canada,Manuka Honey Choco,2023-01-18,10845.85,146,2023,2023-01,2023-01,January,1
Jehu Rudeforth,UK,Baker's Choco Chips,2023-05-16,2832.78,104,2023,2023-05,2023-05,May,5
Kelci Walkden,Australia,White Choc,2023-08-24,8879.72,177,2023,2023-08,2023-08,August,8
Curtice Advani,India,85% Dark Bars,2023-01-18,298.34,399,2023,2023-01,2023-01,January,1
Kaine Padly,USA,Eclairs,2023-08-22,7799.51,10,2023,2023-08,2023-08,August,8
Gunar Cockshoot,UK,99% Dark & Pure,2023-03-07,8.04,85,2023,2023-03,2023-03,March,3
Beverie Moffet,UK,Choco Coated Almonds,2023-03-04,3212.35,66,2023,2023-03,2023-03,March,3
Dotty Strutley,Canada,Manuka Honey Choco,2023-04-22,12048.56,113,2023,2023-04,2023-04,April,4
Kaine Padly,Australia,Milk Bars,2023-06-09,4499.64,91,2023,2023-06,2023-06,June,6
Jan Morforth,Canada,Fruit & Nut Bars,2023-07-25,9984.16,207,2023,2023-07,2023-07,July,7
Jan Morforth,India,Smooth Sliky Salty,2023-08-03,11867.83,95,2023,2023-08,2023-08,August,8
Rafaelita Blaksland,Australia,Manuka Honey Choco,2023-08-03,4806.65,132,2023,2023-08,2023-08,August,8
Jehu Rudeforth,UK,Milk Bars,2023-05-03,13420.93,232,2023,2023-05,2023-05,May,5
Husein Augar,Canada,After Nines,2023-01-19,10407.51,301,2023,2023-01,2023-01,January,1
Roddy Speechley,USA,50% Dark Bites,2023-02-11,10849.39,330,2023,2023-02,2023-02,February,2
Van Tuxwell,India,Almond Choco,2023-06-14,7247.29,402,2023,2023-06,2023-06,June,6
Kelci Walkden,USA,50% Dark Bites,2023-03-23,6387.65,227,2023,2023-03,2023-03,March,3
Madelene Upcott,Canada,85% Dark Bars,2023-02-17,8373.42,108,2023,2023-02,2023-02,February,2
Dennison Crosswaite,Canada,Smooth Sliky Salty,2023-03-17,1887.19,488,2023,2023-03,2023-03,March,3
Mallorie Waber,Australia,Spicy Special Slims,2023-06-29,6054.04,287,2023,2023-06,2023-06,June,6
Ches Bonnell,Canada,Choco Coated Almonds,2023-08-24,16254.61,268,2023,2023-08,2023-08,August,8
Gigi Bohling,Canada,Spicy Special Slims,2023-07-04,13173.56,301,2023,2023-07,2023-07,July,7
Roddy Speechley,New Zealand,Almond Choco,2023-03-28,2721.46,72,2023,2023-03,2023-03,March,3
Curtice Advani,India,Smooth Sliky Salty,2023-04-19,19283.64,139,2023,2023-04,2023-04,April,4
Ches Bonnell,New Zealand,Mint Chip Choco,2023-01-18,9327.52,232,2023,2023-01,2023-01,January,1
Van Tuxwell,New Zealand,Fruit & Nut Bars,2023-01-17,3184.03,85,2023,2023-01,2023-01,January,1
Andria Kimpton,New Zealand,Mint Chip Choco,2023-02-15,9738.74,209,2023,2023-02,2023-02,February,2
Andria Kimpton,UK,Milk Bars,2023-02-11,16486.65,314,2023,2023-02,2023-02,February,2
Camilla Castle,USA,Manuka Honey Choco,2023-03-21,16792.23,184,2023,2023-03,2023-03,March,3
Gunar Cockshoot,New Zealand,Almond Choco,2023-01-05,5752.62,125,2023,2023-01,2023-01,January,1
Brien Boise,India,Raspberry Choco,2023-05-30,6833.28,157,2023,2023-05,2023-05,May,5
Jehu Rudeforth,USA,99% Dark & Pure,2023-01-04,2815.72,222,2023,2023-01,2023-01,January,1
Beverie Moffet,Australia,Fruit & Nut Bars,2023-04-22,1545.36,269,2023,2023-04,2023-04,April,4
Gigi Bohling,Canada,Milk Bars,2023-02-10,3432.73,120,2023,2023-02,2023-02,February,2
Dotty Strutley,India,Spicy Special Slims,2023-08-12,1001.99,217,2023,2023-08,2023-08,August,8
Gunar Cockshoot,USA,Organic Choco Syrup,2023-08-10,2494.19,315,2023,2023-08,2023-08,August,8
Kelci Walkden,Australia,Raspberry Choco,2023-06-07,770.25,61,2023,2023-06,2023-06,June,6
Jehu Rudeforth,India,Baker's Choco Chips,2023-06-06,2261.98,73,2023,2023-06,2023-06,June,6
Karlen McCaffrey,New Zealand,Baker's Choco Chips,2023-04-05,5667.58,204,2023,2023-04,2023-04,April,4
Wilone O'Kielt,USA,50% Dark Bites,2023-04-18,4738.71,125,2023,2023-04,2023-04,April,4
Andria Kimpton,India,50% Dark Bites,2023-01-31,13661.89,15,2023,2023-01,2023-01,January,1
Madelene Upcott,USA,Baker's Choco Chips,2023-08-22,6067.19,151,2023,2023-08,2023-08,August,8
Jehu Rudeforth,Australia,99% Dark & Pure,2023-02-25,11720.99,204,2023,2023-02,2023-02,February,2
Jan Morforth,Australia,Mint Chip Choco,2023-02-22,19999.55,106,2023,2023-02,2023-02,February,2
Oby Sorrel,New Zealand,Milk Bars,2023-01-12,4484.03,201,2023,2023-01,2023-01,January,1
Brien Boise,UK,Almond Choco,2023-05-25,107.24,129,2023,2023-05,2023-05,May,5
Kelci Walkden,India,Smooth Sliky Salty,2023-02-01,2525.98,8,2023,2023-02,2023-02,February,2
Rafaelita Blaksland,UK,Eclairs,2023-04-27,1577.84,67,2023,2023-04,2023-04,April,4
Gigi Bohling,USA,Smooth Sliky Salty,2023-07-22,2972.07,129,2023,2023-07,2023-07,July,7
Curtice Advani,New Zealand,Mint Chip Choco,2023-01-26,3691.63,284,2023,2023-01,2023-01,January,1
Curtice Advani,USA,Mint Chip Choco,2023-08-24,5188.89,293,2023,2023-08,2023-08,August,8
Madelene Upcott,New Zealand,Fruit & Nut Bars,2023-01-18,5766.51,21,2023,2023-01,2023-01,January,1
Karlen McCaffrey,India,85% Dark Bars,2023-03-30,1036.77,82,2023,2023-03,2023-03,March,3
Ches Bonnell,Australia,Caramel Stuffed Bars,2023-01-17,10033.52,163,2023,2023-01,2023-01,January,1
Kelci Walkden,USA,Fruit & Nut Bars,2023-02-17,5220.69,154,2023,2023-02,2023-02,February,2
Kelci Walkden,Canada,Peanut Butter Cubes,2023-04-08,8106.62,47,2023,2023-04,2023-04,April,4
Gigi Bohling,Canada,Drinking Coco,2023-07-06,3934.09,86,2023,2023-07,2023-07,July,7
Husein Augar,India,Fruit & Nut Bars,2023-04-04,4508.93,231,2023,2023-04,2023-04,April,4
Jan Morforth,New Zealand,Organic Choco Syrup,2023-03-02,1921.57,226,2023,2023-03,2023-03,March,3
Gigi Bohling,New Zealand,Raspberry Choco,2023-08-09,1161.31,181,2023,2023-08,2023-08,August,8
Dennison Crosswaite,Australia,Milk Bars,2023-06-09,11389.29,282,2023,2023-06,2023-06,June,6
Ches Bonnell,UK,Caramel Stuffed Bars,2023-06-02,3032.3,313,2023,2023-06,2023-06,June,6
Van Tuxwell,USA,Fruit & Nut Bars,2023-07-05,6871.55,238,2023,2023-07,2023-07,July,7
Andria Kimpton,Canada,Eclairs,2023-08-11,339.99,124,2023,2023-08,2023-08,August,8
Madelene Upcott,India,Choco Coated Almonds,2023-02-11,3720.22,141,2023,2023-02,2023-02,February,2
Kelci Walkden,New Zealand,Spicy Special Slims,2023-08-11,731.19,69,2023,2023-08,2023-08,August,8
Roddy Speechley,Australia,Drinking Coco,2023-05-12,13288.65,112,2023,2023-05,2023-05,May,5
Wilone O'Kielt,USA,Milk Bars,2023-07-15,5332.79,101,2023,2023-07,2023-07,July,7
Andria Kimpton,India,Organic Choco Syrup,2023-01-18,3971.78,131,2023,2023-01,2023-01,January,1
Madelene Upcott,UK,Fruit & Nut Bars,2023-01-05,9538.21,198,2023,2023-01,2023-01,January,1
Curtice Advani,Australia,50% Dark Bites,2023-06-29,547.85,221,2023,2023-06,2023-06,June,6
Brien Boise,Canada,Raspberry Choco,2023-06-14,2994.76,47,2023,2023-06,2023-06,June,6
Gunar Cockshoot,India,Mint Chip Choco,2023-08-08,4451.38,71,2023,2023-08,2023-08,August,8
Dennison Crosswaite,India,Mint Chip Choco,2023-03-23,14691.77,143,2023,2023-03,2023-03,March,3
Barr Faughny,India,Caramel Stuffed Bars,2023-01-04,7042.98,107,2023,2023-01,2023-01,January,1
Brien Boise,India,Milk Bars,2023-02-22,15583.0,248,2023,2023-02,2023-02,February,2
Beverie Moffet,UK,Spicy Special Slims,2023-02-17,9059.82,268,2023,2023-02,2023-02,February,2
Barr Faughny,USA,Almond Choco,2023-02-03,430.59,85,2023,2023-02,2023-02,February,2
Van Tuxwell,Canada,Raspberry Choco,2023-03-17,1264.25,137,2023,2023-03,2023-03,March,3
Wilone O'Kielt,Australia,Baker's Choco Chips,2023-01-25,2995.47,156,2023,2023-01,2023-01,January,1
Brien Boise,Australia,Milk Bars,2023-07-27,2117.82,56,2023,2023-07,2023-07,July,7
Husein Augar,Australia,Fruit & Nut Bars,2023-01-28,8081.79,54,2023,2023-01,2023-01,January,1
Madelene Upcott,Australia,Organic Choco Syrup,2023-07-05,11542.54,49,2023,2023-07,2023-07,July,7
Van Tuxwell,India,White Choc,2023-03-15,2183.68,46,2023,2023-03,2023-03,March,3
Gunar Cockshoot,Canada,After Nines,2023-08-04,3125.34,191,2023,2023-08,2023-08,August,8
Jan Morforth,USA,Fruit & Nut Bars,2023-06-27,4891.86,380,2023,2023-06,2023-06,June,6
Jan Morforth,Canada,After Nines,2023-07-13,4881.32,183,2023,2023-07,2023-07,July,7
Barr Faughny,New Zealand,Manuka Honey Choco,2023-02-24,5917.62,238,2023,2023-02,2023-02,February,2
Karlen McCaffrey,New Zealand,85% Dark Bars,2023-06-28,6312.53,60,2023,2023-06,2023-06,June,6
Oby Sorrel,Australia,85% Dark Bars,2023-06-30,7956.28,27,2023,2023-06,2023-06,June,6
Curtice Advani,Canada,Choco Coated Almonds,2023-08-18,5895.88,7,2023,2023-08,2023-08,August,8
Kaine Padly,India,70% Dark Bites,2023-01-24,13535.7,296,2023,2023-01,2023-01,January,1
Beverie Moffet,USA,White Choc,2023-03-11,5639.9,129,2023,2023-03,2023-03,March,3
Ches Bonnell,New Zealand,After Nines,2023-06-23,5813.44,356,2023,2023-06,2023-06,June,6
Husein Augar,India,Spicy Special Slims,2023-08-22,2514.82,32,2023,2023-08,2023-08,August,8
Gunar Cockshoot,Canada,50% Dark Bites,2023-01-04,3044.01,22,2023,2023-01,2023-01,January,1
Curtice Advani,India,Milk Bars,2023-04-05,3902.04,214,2023,2023-04,2023-04,April,4
Beverie Moffet,India,Milk Bars,2023-04-15,1928.74,354,2023,2023-04,2023-04,April,4
Husein Augar,Australia,White Choc,2023-05-11,3251.53,241,2023,2023-05,2023-05,May,5
Andria Kimpton,Canada,Manuka Honey Choco,2023-07-21,5031.94,495,2023,2023-07,2023-07,July,7
Jan Morforth,New Zealand,Orange Choco,2023-02-11,1350.26,89,2023,2023-02,2023-02,February,2
Andria Kimpton,Canada,Smooth Sliky Salty,2023-07-08,1187.71,75,2023,2023-07,2023-07,July,7
Gunar Cockshoot,UK,Raspberry Choco,2023-08-11,7055.38,334,2023,2023-08,2023-08,August,8
Husein Augar,New Zealand,After Nines,2023-08-04,7231.89,8,2023,2023-08,2023-08,August,8
Andria Kimpton,New Zealand,Orange Choco,2023-06-14,9295.83,93,2023,2023-06,2023-06,June,6
Dennison Crosswaite,UK,Baker's Choco Chips,2023-01-17,2276.94,296,2023,2023-01,2023-01,January,1
Jehu Rudeforth,Canada,Orange Choco,2023-06-23,4229.79,548,2023,2023-06,2023-06,June,6
Jehu Rudeforth,UK,Smooth Sliky Salty,2023-08-24,1640.53,119,2023,2023-08,2023-08,August,8
Andria Kimpton,UK,Caramel Stuffed Bars,2023-06-07,8234.5,294,2023,2023-06,2023-06,June,6
Jan Morforth,UK,White Choc,2023-06-22,10087.04,46,2023,2023-06,2023-06,June,6
Dotty Strutley,USA,Fruit & Nut Bars,2023-07-13,3169.26,281,2023,2023-07,2023-07,July,7
Kelci Walkden,UK,Choco Coated Almonds,2023-05-24,10355.42,215,2023,2023-05,2023-05,May,5
Gunar Cockshoot,New Zealand,After Nines,2023-08-09,7772.63,140,2023,2023-08,2023-08,August,8
Kaine Padly,Canada,85% Dark Bars,2023-04-06,1992.77,31,2023,2023-04,2023-04,April,4
Jan Morforth,New Zealand,Manuka Honey Choco,2023-07-28,1815.56,266,2023,2023-07,2023-07,July,7
Gunar Cockshoot,New Zealand,Raspberry Choco,2023-08-24,727.11,50,2023,2023-08,2023-08,August,8
Van Tuxwell,Australia,99% Dark & Pure,2023-01-17,114.96,132,2023,2023-01,2023-01,January,1
Curtice Advani,USA,Drinking Coco,2023-02-07,5378.09,142,2023,2023-02,2023-02,February,2
Brien Boise,Australia,Spicy Special Slims,2023-05-09,6707.63,269,2023,2023-05,2023-05,May,5
Mallorie Waber,New Zealand,85% Dark Bars,2023-06-06,8167.18,102,2023,2023-06,2023-06,June,6
Wilone O'Kielt,USA,Choco Coated Almonds,2023-06-06,9950.14,6,2023,2023-06,2023-06,June,6
Beverie Moffet,New Zealand,Organic Choco Syrup,2023-05-24,7229.26,215,2023,2023-05,2023-05,May,5
Gunar Cockshoot,UK,50% Dark Bites,2023-01-13,2260.21,128,2023,2023-01,2023-01,January,1
Marney O'Breen,USA,Raspberry Choco,2023-05-23,6206.9,149,2023,2023-05,2023-05,May,5
Jehu Rudeforth,UK,White Choc,2023-06-29,1889.83,286,2023,2023-06,2023-06,June,6
Jehu Rudeforth,New Zealand,85% Dark Bars,2023-03-11,7797.24,88,2023,2023-03,2023-03,March,3
Dotty Strutley,USA,85% Dark Bars,2023-04-25,11644.92,536,2023,2023-04,2023-04,April,4
Rafaelita Blaksland,Australia,Smooth Sliky Salty,2023-05-30,4207.22,255,2023,2023-05,2023-05,May,5
Curtice Advani,India,Manuka Honey Choco,2023-05-23,1683.88,169,2023,2023-05,2023-05,May,5
Mallorie Waber,USA,Peanut Butter Cubes,2023-05-23,1337.36,18,2023,2023-05,2023-05,May,5
Van Tuxwell,Canada,Peanut Butter Cubes,2023-06-24,7147.04,300,2023,2023-06,2023-06,June,6
Kelci Walkden,New Zealand,Smooth Sliky Salty,2023-03-11,12030.46,296,2023,2023-03,2023-03,March,3
Rafaelita Blaksland,USA,Smooth Sliky Salty,2023-07-27,15844.58,232,2023,2023-07,2023-07,July,7
